Date,Calories,Carbs,Fat,Protein,Cholesterol,Sodium,Sugars,Fibre
09-Jun-15,1166,114,30,102,14,949,40,12
10-Jun-15,2223,263,64,167,0,437,110,11
11-Jun-15,934,79,48,44,0,1658,2,11
12-Jun-15,1435,103,52,76,34,1046,39,11
13-Jun-15,679,67,19,56,0,275,41,10
16-Jun-15,2100,175,81,167,34,535,42,15
17-Jun-15,2025,88,84,124,0,90,29,1
18-Jun-15,2331,197,103,147,0,523,46,13
19-Jun-15,1286,89,26,119,0,318,70,18
20-Jun-15,767,101,14,58,0,228,48,10
21-Jun-15,978,54,53,82,653,633,27,2
22-Jun-15,2079,245,54,138,0,1000,89,41
23-Jun-15,2087,177,85,105,66,1799,40,10
24-Jun-15,2075,168,124,180,1,6683,68,14
25-Jun-15,1696,163,45,125,129,2865,70,23
26-Jun-15,2373,178,73,179,0,618,45,11
27-Jun-15,677,67,33,23,1,832,5,13
28-Jun-15,806,71,25,56,3,261,27,1
29-Jun-15,2113,206,57,194,1,2860,78,28
30-Jun-15,1232,40,70,109,106,211,10,4
01-Jul-15,2121,232,43,210,0,1594,70,15
02-Jul-15,2094,163,85,163,1,2734,29,21
03-Jul-15,1206,96,30,140,1,1599,50,7
04-Jul-15,4519,520,169,217,289,10008,196,19
05-Jul-15,1019,91,24,112,10,967,59,5
06-Jul-15,2212,202,114,208,0,2020,68,16
07-Jul-15,1420,137,43,118,14,820,32,5
08-Jul-15,2241,203,73,184,0,2276,58,12
09-Jul-15,2141,204,73,168,0,3186,37,16
10-Jul-15,1499,159,29,148,20,1605,84,13
11-Jul-15,580,79,8,47,0,551,44,4
12-Jul-15,2430,219,108,146,663,1176,79,13
13-Jul-15,2298,146,96,195,0,947,28,7
14-Jul-15,1505,132,25,68,14,499,48,9
15-Jul-15,2415,225,81,192,1553,1182,69,19
16-Jul-15,1404,141,46,100,0,640,83,21
17-Jul-15,1667,195,37,137,1,849,104,20
20-Jul-15,2487,313,54,161,182,4326,100,26
21-Jul-15,1613,132,72,104,14,1621,59,13
22-Jul-15,2313,171,68,159,0,274,37,1
23-Jul-15,2574,276,84,189,1,1811,82,43
24-Jul-15,1656,171,57,105,2,2424,70,22
25-Jul-15,200,3,17,6,0,180,2,2
10-Aug-15,2540,212,67,256,186,1690,76,38
11-Aug-15,1488,155,44,104,7,2396,62,10
12-Aug-15,2597,277,54,231,0,2478,124,28
13-Aug-15,2450,221,84,189,1,7130,32,17
14-Aug-15,1347,153,27,78,0,256,71,11
15-Aug-15,805,69,30,62,0,150,25,6
16-Aug-15,627,34,27,61,0,587,8,5
17-Aug-15,2501,272,71,200,0,585,117,33
18-Aug-15,1238,116,30,131,0,2649,33,11
19-Aug-15,2405,255,57,214,25,2391,93,31
20-Aug-15,2315,217,121,118,0,2216,34,37
21-Aug-15,1463,183,36,94,30,1110,84,20
24-Aug-15,2571,240,54,143,10,527,74,18
25-Aug-15,1670,160,49,143,15,1154,56,9
26-Aug-15,2433,246,61,202,1,5779,109,21
27-Aug-15,1352,118,51,106,1,944,50,16
28-Aug-15,1213,121,36,95,1,2809,33,16
31-Aug-15,2752,311,80,186,21,2207,120,27
01-Sep-15,1576,152,46,148,1,1163,28,13
02-Sep-15,2801,272,98,209,117,2229,79,12
03-Sep-15,2886,240,117,224,0,3277,72,18
04-Sep-15,771,65,27,62,1,578,7,10
07-Sep-15,2760,257,109,210,10,782,86,27
08-Sep-15,1755,170,58,126,21,3467,75,15
09-Sep-15,1525,151,57,88,1,993,72,17
10-Sep-15,2823,256,111,195,255,2626,121,32
11-Sep-15,1450,144,57,89,1,1783,43,21
14-Sep-15,353,35,4,45,0,87,27,2
15-Sep-15,1840,203,62,125,1,2036,60,25
16-Sep-15,2560,129,92,219,1,6894,37,14
17-Sep-15,2718,238,86,238,16,2170,102,24
21-Sep-15,2801,298,94,191,66,4643,85,9
22-Sep-15,1499,144,40,138,23,1942,65,16
23-Sep-15,2647,288,70,209,0,2082,38,21
24-Sep-15,2561,218,83,231,107,1669,57,30
25-Sep-15,1743,188,75,69,1,811,56,19
28-Sep-15,2710,265,101,183,871,1001,110,29
29-Sep-15,1360,135,36,122,0,121,51,1
30-Sep-15,2651,272,75,212,25,677,79,27
01-Oct-15,2702,259,121,137,0,4259,71,14
02-Oct-15,1975,217,51,173,0,2238,34,12
03-Oct-15,1110,101,36,86,15,597,66,18
04-Oct-15,1518,110,73,99,15,1760,42,10
05-Oct-15,2912,286,134,224,15,1861,90,34
06-Oct-15,2067,149,79,180,22,2465,60,22
07-Oct-15,1870,166,70,140,30,1337,76,22
08-Oct-15,3016,239,139,216,543,4579,75,22
09-Oct-15,488,63,18,15,0,266,3,10
12-Oct-15,3017,230,139,218,72,3534,45,33
13-Oct-15,1524,141,51,125,1,858,52,11
14-Oct-15,2918,265,105,228,7,1421,58,23
15-Oct-15,1721,187,44,138,15,1291,115,24
19-Oct-15,447,40,10,50,0,133,25,3
20-Oct-15,1669,128,75,115,307,1618,53,8
21-Oct-15,2889,289,85,228,21,2450,130,47
22-Oct-15,3072,285,132,187,199,3557,112,20
26-Oct-15,2842,220,109,219,369,3655,71,8
27-Oct-15,2081,195,69,155,28,2005,72,10
28-Oct-15,2131,238,56,143,61,1970,71,23
29-Oct-15,397,32,8,50,0,100,32,0
16-Nov-15,2728,172,92,225,1,1639,73,18
07-Dec-15,2485,249,64,224,11,2726,87,17
08-Dec-15,1183,119,29,103,46,2421,44,22
09-Dec-15,2694,244,96,214,256,1513,58,14
10-Dec-15,2375,196,80,212,0,1187,24,6
11-Dec-15,558,51,29,19,1,669,5,10
